view,pred_dir,raw_num_voxels,raw_method,raw_is_complete,raw_flood_ratio,raw_evaluation_time,raw_success,raw_error,raw_detected_grid_size,norm_num_voxels,norm_method,norm_is_complete,norm_flood_ratio,norm_evaluation_time,norm_success,norm_error,norm_detected_grid_size,contradiction,food_item
000,/scratch/cl927/nutritionverse-3d-new/id-1-salad-chicken-strip-7g/SAM3D_singleview_prediction/000,4952,discrete,True,0.9449958801269531,0.44663000106811523,True,,64,4952,discrete,True,0.9449958801269531,0.44582700729370117,True,,64,False,id-1-salad-chicken-strip-7g
001,/scratch/cl927/nutritionverse-3d-new/id-1-salad-chicken-strip-7g/SAM3D_singleview_prediction/001,6266,discrete,True,0.933319091796875,0.4429440498352051,True,,64,6266,discrete,True,0.933319091796875,0.4440491199493408,True,,64,False,id-1-salad-chicken-strip-7g
002,/scratch/cl927/nutritionverse-3d-new/id-1-salad-chicken-strip-7g/SAM3D_singleview_prediction/002,5564,discrete,True,0.9396896362304688,0.4479377269744873,True,,64,5564,discrete,True,0.9396896362304688,0.44951796531677246,True,,64,False,id-1-salad-chicken-strip-7g
003,/scratch/cl927/nutritionverse-3d-new/id-1-salad-chicken-strip-7g/SAM3D_singleview_prediction/003,8654,discrete,True,0.9158973693847656,0.43964409828186035,True,,64,8654,discrete,True,0.9158973693847656,0.46068453788757324,True,,64,False,id-1-salad-chicken-strip-7g
004,/scratch/cl927/nutritionverse-3d-new/id-1-salad-chicken-strip-7g/SAM3D_singleview_prediction/004,5262,discrete,True,0.944793701171875,0.45496487617492676,True,,64,5262,discrete,True,0.944793701171875,0.45626068115234375,True,,64,False,id-1-salad-chicken-strip-7g
000,/scratch/cl927/nutritionverse-3d-new/id-10-nature-valley-granola-bar-18g/SAM3D_singleview_prediction/000,7581,discrete,False,0.9710769653320312,0.4685070514678955,True,,64,7581,discrete,False,0.9710769653320312,0.4689159393310547,True,,64,False,id-10-nature-valley-granola-bar-18g
001,/scratch/cl927/nutritionverse-3d-new/id-10-nature-valley-granola-bar-18g/SAM3D_singleview_prediction/001,9840,discrete,False,0.9624595642089844,0.46607375144958496,True,,64,9840,discrete,False,0.9624595642089844,0.46263599395751953,True,,64,False,id-10-nature-valley-granola-bar-18g
002,/scratch/cl927/nutritionverse-3d-new/id-10-nature-valley-granola-bar-18g/SAM3D_singleview_prediction/002,11668,discrete,True,0.9301414489746094,0.4510324001312256,True,,64,11668,discrete,True,0.9301414489746094,0.44978809356689453,True,,64,False,id-10-nature-valley-granola-bar-18g
003,/scratch/cl927/nutritionverse-3d-new/id-10-nature-valley-granola-bar-18g/SAM3D_singleview_prediction/003,9710,discrete,False,0.9629478454589844,0.46967148780822754,True,,64,9710,discrete,False,0.9629478454589844,0.4769775867462158,True,,64,False,id-10-nature-valley-granola-bar-18g
004,/scratch/cl927/nutritionverse-3d-new/id-10-nature-valley-granola-bar-18g/SAM3D_singleview_prediction/004,11573,discrete,False,0.9558219909667969,0.4570765495300293,True,,64,11573,discrete,False,0.9558219909667969,0.4573371410369873,True,,64,False,id-10-nature-valley-granola-bar-18g
